REMA 1000 ;True
Bunnpris;True
Narvesen;True
7-Eleven;True
Mix;True
Deli de Luca - js
YX;True
Shell;True
Burger King;True
McDonald’s- ja
Subway;True
Domino’s Pizza;False
Peppes Pizza;True
Pizzabakeren;True
Dolly Dimple’s;False
Papa’s Pizza;False
Big Horn Steakhouse;True
Egon;True
Pincho Nation;False
Wok to Walk;False
Upper Crust;False
Starbucks;False
Espresso House;False
Joe & The Juice;False
SmoothieXchange;False
Jordbærpikene;True
La Baguette;False
Little Eataly;False
Lysthuset;False
Floriss;True
Interflora;True
Partyland;True
Lykke Hjemme;False
Sunkost;True
Vitusapotek;True
Specsavers;True
Elon;True
Elkjøp;True
Power;True
Kvik;True
HTH;True
Snap Drive;False
Mekonomen;True
MECA - kanskje
Fixbil;False
BilXtra;True
Brun og Blid – ja
Mudo Gym;True
SATS;False
Fresh Fitness – nei Godt døme på Feil type bedrift
CrossFit;True
Cutters;False
Nikita Hair;False
Adam og Eva
Modern Design
Hairport
Hair We Are
Ribago Frisør
Eie Eiendomsmegling
PrivatMegleren
ERA Eiendom
RE/MAX Norge
Krogsveen
EiendomsMegler1
Nordvik
DNB Eiendom
Aktiv Eiendomsmegling
Accountor
Azets
If forsikring
Tryg
SpareBank1
Nordea
Eiendomsinvest
Fresh Properties
Home Instead Norge
Right at Home Norge
Din Bemanning
Adecco
Manpower
ISS
Elite Service Partner
CityMaid
Maid2Clean Norge
Jani-King Norge
ServiceMaster Norge
Steamatic
Polygon
RECO Bygg og Skadeteknikk
Recover
Kjell & Company
Kitch’n
Tilbords
Feel
Kid Interiør
Skeidar
Bohus
Møbelringen
Comfort
VVS Eksperten
Varme & Bad
XL-BYGG
Montér
Optimera
Byggtorget
Carlsen Fritzøe
Sport 1
Intersport
Anton Sport
Löplabbet
Sykkelkomponenter
Bikeshop
Buddy Dyrebutikk
Musti
AniCura
Evidensia
Apotek1
Boots Apotek
Vitusapotek
Vitusapotek
Apotekgruppen Norge
Vitusapotek Servicesenter
Lego Certified Store
Pandora
Flying Tiger Copenhagen
Normal
Europris
Ringo leketøysbutikker
Extra Leker
Sprell
Lekia
Bolia
JYSK
Søstrene Grene
Clas Ohlson
Lampehuset
Christiania Glasmagasin
Tilbords
Feel
Kid
Princess
Sparkjøp
Bik Bok
Carlings
Dressmann
Volt
Jack & Jones
Only
Vero Moda
Name It
Selected
Change Lingerie
Hunkemöller
Synsam
Interoptik
Specsavers
Brilleland
Krogh Optikk
Feelgood treningssenter
Spenst treningssenter
Family Sports Club
Actic
EVO Fitness
24-Syv butikk
Boxer Food
Foodora
Wolt
Ghost kitchen
Lviv Croissants
Fresh Burritos
Pizzanini
Mamma Pizza
